D A T E,KODEX 200,TIGER KOSDAQ150,TIGER S&P500,TIGER SYNTH-EURO STOXX 50(H),ACE Japan Nikkei225(H),TIGER CHINA A300,KOSEF 10YKTB,KBSTAR Credit,TIGER SYNTH-HY(H),KODEX Gold Futures(H),TIGER WTI Futures,KODEX INVERSE,KODEX USD Futures,KODEX USD Futures Inverse,KOSEF Enhanced Cash
2020/09/18,0.1312,0.2039,0.0827,0.0165,0.048,0.2115,-0.0056,0.004,0.021,0.1102,0.0686,-0.1279,-0.0389,0.0382,0.0012
2020/09/21,0.1177,0.1674,0.0612,0.0023,0.0395,0.1755,-0.0052,0.0037,0.0229,0.107,0.0282,-0.1176,-0.0412,0.0435,0.0011
2020/09/22,0.0994,0.1043,0.064,-0.0156,0.0397,0.162,-0.0024,0.0054,0.0207,0.0634,-0.0026,-0.0992,-0.041,0.041,0.0012
2020/09/23,0.1006,0.1069,0.061,-0.0169,0.0305,0.1659,0.0006,0.0046,0.0159,0.046,-0.0301,-0.1033,-0.037,0.0377,0.0012
2020/09/24,0.0578,0.0474,0.0343,-0.0385,0.0264,0.1423,-0.0011,0.0051,0.0159,0.0232,-0.0251,-0.0663,-0.0222,0.0208,0.0012
2020/09/25,0.09,0.0594,0.0704,-0.0125,0.0424,0.1514,-0.002,0.0046,0.0177,0.0369,0.0504,-0.0952,-0.0254,0.0239,0.0011
2020/09/28,0.0907,0.0967,0.0827,-0.0124,0.0447,0.1537,-0.0021,0.0055,0.0226,0.0351,0.0129,-0.0966,-0.0222,0.0197,0.0012
2020/09/29,0.119,0.1397,0.1146,0.0131,0.0769,0.1738,0,0.0066,0.0289,0.0375,0.0451,-0.1182,-0.0236,0.0233,0.0013
2020/10/05,0.0979,0.1267,0.0713,-0.0292,0.0425,0.0847,-0.0024,0.0049,0.0274,0.0443,-0.0477,-0.1012,-0.0283,0.0296,0.001
2020/10/06,0.0837,0.1157,0.074,-0.0416,0.0374,0.018,-0.0038,0.0055,0.0239,0.0544,-0.025,-0.0886,-0.0279,0.0269,0.0008
2020/10/07,0.1075,0.1204,0.0674,-0.0369,0.0402,-0.013,-0.0066,0.0047,0.0363,0.0366,-0.0076,-0.1091,-0.0298,0.03,0.0009
2020/10/08,0.1111,0.1099,0.096,-0.0242,0.0529,-0.0014,-0.0084,0.0047,0.0327,0.0288,-0.015,-0.113,-0.0332,0.0326,0.0011
2020/10/12,0.1214,0.1057,0.1187,0.0041,0.0601,0.0023,-0.0078,0.0039,0.04,0.0542,0.0129,-0.1197,-0.0465,0.0469,0.0009
2020/10/13,0.1012,0.0875,0.1038,-0.0125,0.041,-0.0076,-0.0052,0.0055,0.0404,0.0425,-0.0151,-0.1028,-0.0434,0.0431,0.0009
2020/10/14,0.0921,0.0756,0.1114,-0.0072,0.0465,0.0027,-0.0032,0.0057,0.0395,0.0348,-0.0077,-0.0943,-0.0484,0.049,0.0011
2020/10/15,0.0732,0.0498,0.0799,-0.0327,0.03,-0.0041,0,0.0058,0.0418,0.0339,-0.015,-0.0791,-0.0467,0.0483,0.0012
2020/10/16,0.0787,0.0502,0.0846,-0.0404,0.0307,0.0408,-0.0032,0.0048,0.0305,0.0363,-0.0322,-0.084,-0.0474,0.0485,0.0011
2020/10/19,0.0729,0.0252,0.0872,-0.031,0.0453,0.0388,-0.0029,0.0045,0.0264,0.0472,-0.0272,-0.078,-0.0516,0.0538,0.0011
2020/10/20,0.0831,0.0326,0.0738,-0.0437,0.0451,0.0139,-0.0056,0.0042,0.0237,0.0367,-0.0175,-0.088,-0.0513,0.0536,0.0011
2020/10/21,0.0709,0.0293,0.0587,-0.0503,0.0415,0.0148,-0.0091,0.004,0.0188,0.0405,-0.0247,-0.0764,-0.0539,0.0565,0.001
2020/10/22,0.0676,-0.0052,0.0505,-0.0686,0.0404,0.0028,-0.0087,0.0038,0.0193,0.0146,-0.0608,-0.0736,-0.0498,0.0522,0.0011
2020/10/23,0.0779,-0.0264,0.0506,-0.0702,0.0401,0.0042,-0.0101,0.0042,0.0162,0,-0.0628,-0.0824,-0.0506,0.0544,0.0011
2020/10/26,0.0818,-0.0506,0.0644,-0.0511,0.0382,0.0269,-0.0101,0.0044,0.0126,-0.0102,-0.0691,-0.0861,-0.0613,0.0634,0.001
2020/10/27,0.0623,-0.0474,0.0595,-0.0587,0.039,0.0383,-0.0115,0.0049,0.0148,-0.0248,-0.0714,-0.0683,-0.0573,0.061,0.001
