,KODEX 200,TIGER KOSDAQ150,TIGER S&P500,TIGER SYNTH-EURO STOXX 50(H),ACE Japan Nikkei225(H),TIGER CHINA A300,KOSEF 10YKTB,KBSTAR Credit,TIGER SYNTH-HY(H),KODEX Gold Futures(H),TIGER WTI Futures,KODEX INVERSE,KODEX USD Futures,KODEX USD Futures Inverse,KOSEF Enhanced Cash
KODEX 200,1.0,0.7574875897451592,0.8254573571163303,0.7295452512635632,0.5489673634188044,-0.04174974129763516,0.5610401899835785,0.7011897111895227,0.7525985483016951,0.6933695855699239,-0.1390871789278956,-0.9948672029478518,-0.631395483128175,0.6573112360895855,0.8051601241073385
TIGER KOSDAQ150,0.7574875897451592,1.0,0.6811407605247581,0.39037205305183054,0.5271981950826234,0.16963489956235925,0.3871639433792251,0.6832532435265785,0.46360123410488535,0.4853915913272514,0.042765138817317055,-0.7370746512445763,-0.1672704134113146,0.19654740646221575,0.7441254779306986
TIGER S&P500,0.8254573571163303,0.6811407605247581,1.0,0.5934645458395622,0.6685216257418769,0.013790246381595123,0.47831106346368346,0.5738208434381971,0.8397564285115414,0.41441030258233236,-0.2273413896654305,-0.8250585542367587,-0.4823262161792642,0.5097668322985114,0.6580121280736341
TIGER SYNTH-EURO STOXX 50(H),0.7295452512635632,0.39037205305183054,0.5934645458395622,1.0,0.14302844018689437,0.19904409377273102,0.7226475743990413,0.675688291857641,0.7883784071571652,0.6667420070609996,-0.45951794768610005,-0.7471384637309229,-0.7437411721784821,0.7586877272736898,0.6520276446662489
ACE Japan Nikkei225(H),0.5489673634188044,0.5271981950826234,0.6685216257418769,0.14302844018689437,1.0,-0.12836949936928727,0.031028260660189814,0.12959877700586694,0.3202059709791461,-0.042278871020034386,-0.135861044859161,-0.534914343822831,-0.042233434431597064,0.04876814401179807,0.21655391267800553
TIGER CHINA A300,-0.04174974129763516,0.16963489956235925,0.013790246381595123,0.19904409377273102,-0.12836949936928727,1.0,0.48987066815914604,0.49503455626957865,0.08955141984970041,0.07738480269866121,-0.19298637804674423,0.07619255247268475,-0.06676894710399572,0.07527928812222529,0.2057498873227409
KOSEF 10YKTB,0.5610401899835785,0.3871639433792251,0.47831106346368346,0.7226475743990413,0.031028260660189814,0.48987066815914604,1.0,0.8049105655306609,0.6295737226455925,0.6493335756809367,-0.394259601987066,-0.5527220760837975,-0.6691376211303849,0.6868224921348297,0.5982475813463911
KBSTAR Credit,0.7011897111895227,0.6832532435265785,0.5738208434381971,0.675688291857641,0.12959877700586694,0.49503455626957865,0.8049105655306609,1.0,0.6420746087106435,0.6802786261615626,-0.2610111252949452,-0.6757256216991459,-0.5311188507951181,0.5644807338758006,0.8843850573891082
TIGER SYNTH-HY(H),0.7525985483016951,0.46360123410488535,0.8397564285115414,0.7883784071571652,0.3202059709791461,0.08955141984970041,0.6295737226455925,0.6420746087106435,1.0,0.5379046017062856,-0.35653893234091155,-0.7568398458643663,-0.6677575068533407,0.7004845522839294,0.7206014120424341
KODEX Gold Futures(H),0.6933695855699239,0.4853915913272514,0.41441030258233236,0.6667420070609996,-0.042278871020034386,0.07738480269866121,0.6493335756809367,0.6802786261615626,0.5379046017062856,1.0,-0.08053860009362743,-0.6953422980213098,-0.6375849126860665,0.6580500501060266,0.7109249892391527
TIGER WTI Futures,-0.1390871789278956,0.042765138817317055,-0.2273413896654305,-0.45951794768610005,-0.135861044859161,-0.19298637804674423,-0.394259601987066,-0.2610111252949452,-0.35653893234091155,-0.08053860009362743,1.0,0.14712564247002813,0.13989364742152954,-0.15926750282141075,-0.1383549309886279
KODEX INVERSE,-0.9948672029478518,-0.7370746512445763,-0.8250585542367587,-0.7471384637309229,-0.534914343822831,0.07619255247268475,-0.5527220760837975,-0.6757256216991459,-0.7568398458643663,-0.6953422980213098,0.14712564247002813,1.0,0.6343423765208788,-0.6567097938691921,-0.7773520179265555
KODEX USD Futures,-0.631395483128175,-0.1672704134113146,-0.4823262161792642,-0.7437411721784821,-0.042233434431597064,-0.06676894710399572,-0.6691376211303849,-0.5311188507951181,-0.6677575068533407,-0.6375849126860665,0.13989364742152954,0.6343423765208788,1.0,-0.9962944374440629,-0.5156786274176575
KODEX USD Futures Inverse,0.6573112360895855,0.19654740646221575,0.5097668322985114,0.7586877272736898,0.04876814401179807,0.07527928812222529,0.6868224921348297,0.5644807338758006,0.7004845522839294,0.6580500501060266,-0.15926750282141075,-0.6567097938691921,-0.9962944374440629,1.0,0.5585904444042726
KOSEF Enhanced Cash,0.8051601241073385,0.7441254779306986,0.6580121280736341,0.6520276446662489,0.21655391267800553,0.2057498873227409,0.5982475813463911,0.8843850573891082,0.7206014120424341,0.7109249892391527,-0.1383549309886279,-0.7773520179265555,-0.5156786274176575,0.5585904444042726,1.0
