,0
KODEX 200,0.1283589444812523
TIGER KOSDAQ150,0.2846707921854146
TIGER S&P500,0.13973508678285115
TIGER SYNTH-EURO STOXX 50(H),0.17334495055604832
ACE Japan Nikkei225(H),0.1540556974456899
TIGER CHINA A300,0.143583322426749
KOSEF 10YKTB,0.07796511739805964
KBSTAR Credit,0.03832711932212537
TIGER SYNTH-HY(H),0.05495592858495116
KODEX Gold Futures(H),0.13482203214072414
TIGER WTI Futures,0.2735470026744651
KODEX INVERSE,0.13226943466822266
KODEX USD Futures,0.12800186760088195
KODEX USD Futures Inverse,0.1210638679246143
KOSEF Enhanced Cash,0.007360742782910872
